2025-04-01 10:18 | DEBUG | acordao.py:__init__:25 | Inicializando Acordao...
2025-04-01 10:18 | INFO | document.py:_get_keys:151 | Extraindo chaves do texto
2025-04-01 10:18 | SUCCESS | document.py:_get_keys:153 | Chaves encontradas: ['nº', '', 'Município', '', 'Gestora', '', 'Exercício', '', 'Responsável', '', 'legal', '', 'Interessada', '', 'Assunto', '', 'Relator', '', 'EMENTA', '', 'DECISÃO', '']
2025-04-01 10:18 | DEBUG | document.py:_get_keys:163 | Chaves filtradas: ['Município', 'Gestora', 'Exercício', 'Responsável', 'Interessada', 'Assunto', 'Relator', 'EMENTA', 'DECISÃO']
2025-04-01 10:18 | DEBUG | document.py:_extract_key_content:185 | Match found for Município
2025-04-01 10:18 | INFO | document.py:clean_text:118 | Iniciando limpeza do texto
2025-04-01 10:18 | DEBUG | document.py:_is_there_personal_data:96 | Identificando dados pessoais no texto: Afuá
2025-04-01 10:18 | SUCCESS | document.py:clean_text:139 | Texto limpo com sucesso
2025-04-01 10:18 | DEBUG | document.py:_extract_key_content:185 | Match found for Gestora
2025-04-01 10:18 | INFO | document.py:clean_text:118 | Iniciando limpeza do texto
2025-04-01 10:18 | DEBUG | document.py:_is_there_personal_data:96 | Identificando dados pessoais no texto: Instituto Municipal de Previdência e Assistência Social do Município de Afuá – IMPAS
2025-04-01 10:18 | SUCCESS | document.py:clean_text:139 | Texto limpo com sucesso
2025-04-01 10:18 | DEBUG | document.py:_extract_key_content:185 | Match found for Exercício
2025-04-01 10:18 | INFO | document.py:clean_text:118 | Iniciando limpeza do texto
2025-04-01 10:18 | DEBUG | document.py:_is_there_personal_data:96 | Identificando dados pessoais no texto: 2021 Ordenador/
2025-04-01 10:18 | SUCCESS | document.py:clean_text:139 | Texto limpo com sucesso
2025-04-01 10:18 | DEBUG | document.py:_extract_key_content:185 | Match found for Responsável
2025-04-01 10:18 | INFO | document.py:clean_text:118 | Iniciando limpeza do texto
2025-04-01 10:18 | DEBUG | document.py:_is_there_personal_data:96 | Identificando dados pessoais no texto: Tatiany Lopes Maciel – CPF 004.155.80226 Representante legal: Não há representante
2025-04-01 10:18 | SUCCESS | document.py:clean_text:139 | Texto limpo com sucesso
2025-04-01 10:18 | DEBUG | document.py:_extract_key_content:185 | Match found for Interessada
2025-04-01 10:18 | INFO | document.py:clean_text:118 | Iniciando limpeza do texto
2025-04-01 10:18 | DEBUG | document.py:_is_there_personal_data:96 | Identificando dados pessoais no texto: Marni da Silva Cohen – CPF 295.001.922-68
